"id","fav","chapter","visitors_all","visitors"
"1475589","14","16","605","3"
"1544614","115","26","4076","17"
"1519847","376","20","7050","31"
"1544778","208","25","2608","9"
"1552121","397","80","28369","38"
"1444576","1426","94","36805","13"
"1475312","571","21","43341","36"
"1518890","215","18","15942","84"
"1444741","1328","19","22034","2557"
"1455087","1683","21","126605","78"
"1445329","2127","41","240319","125"
"1534553","4075","40","131705","2224"
"1454924","2257","32","46402","159"
"1446402","451","72","33070","32"
"1449613","48","11","847","2"
"1448936","41","22","1033","12"
"1449216","238","48","9759","8"
"1511785","223","36","16908","33"
"1449625","195","33","11672","23"
"1450203","220","22","4487","5"
"1494066","1214","66","126919","42"
"1535943","104","25","1792","12"
"1530413","81","23","2662","10"
"1508709","28","27","455","4"
"1529920","1910","39","21553","335"
"1452731","118","35","10354","52"
"1591275","114","28","3051","31"
"1526276","28","20","743","3"
"1495454","1848","46","275682","77"
"1568167","797","30","13179","81"
"1507117","186","50","8175","18"
"1458287","19","32","2890","18"
"1504271","505","60","48991","27"
"1460129","639","69","46725","18"
"1460755","101","24","4734","5"
"1515316","200","30","7945","48"
"1462575","658","93","36301","12"
"1576039","5","29","320","4"
"1535874","2595","101","270998","68"
"1504183","4465","22","139287","168"
"1464153","35","18","1710","2"
"1495019","141","52","8894","34"
"1544180","1506","58","84518","160"
"1488101","56","31","3551","17"
"1499038","217","1","8095","19"
"1464364","59","36","5325","34"
"1582625","8","21","317","2"
"1567793","350","42","7018","513"
"1515588","28","19","4424","2"
"1472254","1161","59","64067","71"
"1507333","15","17","1020","4"
"1486688","11","22","416","4"
"1527001","1305","324","131815","1313"
"1501716","38","29","2692","19"
"1543210","37","24","3851","24"
"1542097","62","26","2028","11"
"1530442","510","50","23780","390"
"1518795","52","20","2138","10"
"1483958","169","50","23868","13"
"1475144","541","36","33715","72"
"1493011","1675","73","39892","83"
"1518506","1466","115","221371","545"
"1475786","2471","50","113503","41"
"1476148","4","36","3581","37"
"1476436","198","19","4513","7"
"1476827","88","35","4983","13"
"1477537","21","24","686","2"
"1478121","3471","42","234937","233"
"1478701","45","18","1817","7"
"1486115","31","28","1934","11"
"1492203","995","26","18067","43"
"1487922","4069","79","79647","75"
"1569328","58","15","1622","5"
"1491868","11","10","507","4"
"1486135","3949","44","215089","131"
"1486411","2621","54","151358","292"
"1519347","219","22","9119","38"
"1492960","34","35","1950","2"
"1488146","6834","30","281900","238"
"1488457","44","24","3580","2"
